Initialising login role...
Connecting to remote database...
Skipping migration 20260707b_operator_preview_log.sql... (file name must match pattern "<timestamp>_name.sql")
Skipping migration OPERATOR_APPLY_supabase_admin_default_acl.sql... (file name must match pattern "<timestamp>_name.sql")

  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20260413       |                | 20260413            
                  | 20260412235959 | 2026-04-12 23:59:59 
                  | 20260413       | 20260413            
   20260414000001 | 20260414000001 | 2026-04-14 00:00:01 
   20260414000002 | 20260414000002 | 2026-04-14 00:00:02 
   20260414000003 | 20260414000003 | 2026-04-14 00:00:03 
   20260414000004 | 20260414000004 | 2026-04-14 00:00:04 
   20260414000005 | 20260414000005 | 2026-04-14 00:00:05 
   20260414000006 | 20260414000006 | 2026-04-14 00:00:06 
   20260414000007 | 20260414000007 | 2026-04-14 00:00:07 
   20260414000008 | 20260414000008 | 2026-04-14 00:00:08 
   20260414000009 | 20260414000009 | 2026-04-14 00:00:09 
   20260414000010 | 20260414000010 | 2026-04-14 00:00:10 
   20260414000011 | 20260414000011 | 2026-04-14 00:00:11 
   20260414000012 | 20260414000012 | 2026-04-14 00:00:12 
   20260415000001 | 20260415000001 | 2026-04-15 00:00:01 
   20260415000002 | 20260415000002 | 2026-04-15 00:00:02 
   20260415000003 | 20260415000003 | 2026-04-15 00:00:03 
   20260417000001 | 20260417000001 | 2026-04-17 00:00:01 
   20260417000002 | 20260417000002 | 2026-04-17 00:00:02 
   20260418000001 | 20260418000001 | 2026-04-18 00:00:01 
   20260418000002 | 20260418000002 | 2026-04-18 00:00:02 
   20260418000003 | 20260418000003 | 2026-04-18 00:00:03 
   20260421       | 20260421       | 20260421            
   20260423000001 | 20260423000001 | 2026-04-23 00:00:01 
   20260423000002 | 20260423000002 | 2026-04-23 00:00:02 
   20260423000003 | 20260423000003 | 2026-04-23 00:00:03 
   20260423000004 | 20260423000004 | 2026-04-23 00:00:04 
   20260423000005 | 20260423000005 | 2026-04-23 00:00:05 
   20260429       | 20260429       | 20260429            
   20260505000001 | 20260505000001 | 2026-05-05 00:00:01 
   20260505000002 | 20260505000002 | 2026-05-05 00:00:02 
   20260505000003 | 20260505000003 | 2026-05-05 00:00:03 
   20260505000004 | 20260505000004 | 2026-05-05 00:00:04 
   20260506000001 | 20260506000001 | 2026-05-06 00:00:01 
   20260506000002 | 20260506000002 | 2026-05-06 00:00:02 
   20260506000003 | 20260506000003 | 2026-05-06 00:00:03 
   20260512       | 20260512       | 20260512            
   20260513000001 | 20260513000001 | 2026-05-13 00:00:01 
   20260513000002 | 20260513000002 | 2026-05-13 00:00:02 
   20260513000003 | 20260513000003 | 2026-05-13 00:00:03 
   20260513000004 | 20260513000004 | 2026-05-13 00:00:04 
   20260513000005 | 20260513000005 | 2026-05-13 00:00:05 
   20260513000006 | 20260513000006 | 2026-05-13 00:00:06 
   20260513000007 | 20260513000007 | 2026-05-13 00:00:07 
   20260513000008 | 20260513000008 | 2026-05-13 00:00:08 
   20260513000009 | 20260513000009 | 2026-05-13 00:00:09 
   20260514000001 | 20260514000001 | 2026-05-14 00:00:01 
   20260514000002 | 20260514000002 | 2026-05-14 00:00:02 
   20260515000001 | 20260515000001 | 2026-05-15 00:00:01 
   20260515000002 | 20260515000002 | 2026-05-15 00:00:02 
   20260516000001 | 20260516000001 | 2026-05-16 00:00:01 
   20260516000002 | 20260516000002 | 2026-05-16 00:00:02 
   20260516000003 | 20260516000003 | 2026-05-16 00:00:03 
   20260518       | 20260518       | 20260518            
                  | 20260518193933 | 2026-05-18 19:39:33 
                  | 20260518205041 | 2026-05-18 20:50:41 
                  | 20260520000001 | 2026-05-20 00:00:01 
                  | 20260520000002 | 2026-05-20 00:00:02 
                  | 20260520000003 | 2026-05-20 00:00:03 
                  | 20260520000004 | 2026-05-20 00:00:04 
                  | 20260520000005 | 2026-05-20 00:00:05 
                  | 20260520000006 | 2026-05-20 00:00:06 
                  | 20260520000007 | 2026-05-20 00:00:07 
                  | 20260520000008 | 2026-05-20 00:00:08 
                  | 20260520000009 | 2026-05-20 00:00:09 
   20260520173822 | 20260520173822 | 2026-05-20 17:38:22 
   20260520192341 | 20260520192341 | 2026-05-20 19:23:41 
                  | 20260521000001 | 2026-05-21 00:00:01 
                  | 20260521000002 | 2026-05-21 00:00:02 
   20260521225705 | 20260521225705 | 2026-05-21 22:57:05 
